population,Data Zone
916,S01000001
692,S01000002
802,S01000003
627,S01000004
655,S01000005
653,S01000006
828,S01000007
575,S01000008
656,S01000009
511,S01000010
981,S01000011
"1,618",S01000012
873,S01000013
883,S01000014
654,S01000015
535,S01000016
839,S01000017
525,S01000018
719,S01000019
"1,000",S01000020
854,S01000021
715,S01000022
817,S01000023
544,S01000024
913,S01000025
907,S01000026
799,S01000027
928,S01000028
783,S01000029
459,S01000030
973,S01000031
"1,073",S01000032
746,S01000033
"1,399",S01000034
"1,035",S01000035
662,S01000036
716,S01000037
741,S01000038
883,S01000039
925,S01000040
869,S01000041
772,S01000042
891,S01000043
"1,001",S01000044
568,S01000045
913,S01000046
811,S01000047
931,S01000048
775,S01000049
794,S01000050
797,S01000051
663,S01000052
"1,221",S01000053
794,S01000054
808,S01000055
"1,030",S01000056
687,S01000057
799,S01000058
"1,016",S01000059
665,S01000060
989,S01000061
"1,064",S01000062
967,S01000063
624,S01000064
"1,045",S01000065
906,S01000066
"1,069",S01000067
884,S01000068
730,S01000069
684,S01000070
844,S01000071
874,S01000072
619,S01000073
885,S01000074
528,S01000075
713,S01000076
963,S01000077
"1,095",S01000078
"1,448",S01000079
"1,024",S01000080
931,S01000081
"1,014",S01000082
821,S01000083
977,S01000084
627,S01000085
753,S01000086
"1,208",S01000087
876,S01000088
947,S01000089
823,S01000090
"1,113",S01000091
954,S01000092
765,S01000093
702,S01000094
779,S01000095
730,S01000096
"1,056",S01000097
"1,349",S01000098
817,S01000099
899,S01000100
883,S01000101
843,S01000102
652,S01000103
928,S01000104
841,S01000105
748,S01000106
"1,337",S01000107
842,S01000108
"1,075",S01000109
880,S01000110
811,S01000111
"1,050",S01000112
637,S01000113
838,S01000114
856,S01000115
922,S01000116
"1,003",S01000117
760,S01000118
814,S01000119
576,S01000120
820,S01000121
718,S01000122
779,S01000123
810,S01000124
882,S01000125
"1,026",S01000126
739,S01000127
"1,533",S01000128
582,S01000129
"1,603",S01000130
632,S01000131
791,S01000132
943,S01000133
728,S01000134
747,S01000135
671,S01000136
"1,029",S01000137
"1,163",S01000138
790,S01000139
852,S01000140
774,S01000141
709,S01000142
613,S01000143
722,S01000144
832,S01000145
"1,526",S01000146
"1,064",S01000147
596,S01000148
"1,261",S01000149
629,S01000150
866,S01000151
"1,380",S01000152
"1,037",S01000153
